Sample Name,Sample Lab Code,Sample Type,Batch Code,4-Acetoxy DMT (mg/g),4-Acetoxy MET (mg/g),4-Hydroxy DET (mg/g),4-Hydroxy TMT (mg/g),4-Hydroxytryptamine (mg/g),4-Propanoyloxy DMT (mg/g),5-Hydroxytryptophan (mg/g),5-Methoxy DMT (mg/g),5-Methoxy NMT (mg/g),Adenosine (mg/g),Aeruginascin (mg/g),Baeocystin (mg/g),Bufotenin (mg/g),Methylcybin (mg/g),"N,N-DMT (mg/g)","N,N-MT (mg/g)",Norbaeocystin (mg/g),Norpsilocin (mg/g),PsilocinEQ (mg/g),Psilocin (mg/g),Psilocybin (mg/g),Serotonin (mg/g),Tryptamine (mg/g),Tryptophan (mg/g),4AcetoxyDMT_AmountMgPkg,4AcetoxyMET_AmountMgPkg,4HydroxyDET_AmountMgPkg,4HydroxyTMT_AmountMgPkg,4Hydroxytryptamine_AmountMgPkg,4PropanoyloxyDMT_AmountMgPkg,5Hydroxytryptophan_AmountMgPkg,5MethoxyDMT_AmountMgPkg,5MethoxyNMT_AmountMgPkg,Adenosine_AmountMgPkg,Aeruginascin_AmountMgPkg,Baeocystin_AmountMgPkg,Bufotenin_AmountMgPkg,Methylcybin_AmountMgPkg,"N,NDMT_AmountMgPkg",NNMT_AmountMgPkg,Norbaeocystin (mg/pkg),Norpsilocin_AmountMgPkg,PsilocinEQ (mg/pkg),Psilocin (mg/pkg),Psilocybin (mg/pkg),Serotonin_AmountMgPkg,Tryptamine_AmountMgPkg,Tryptophan_AmountMgPkg,4AcetoxyDMT_AmountMgSrv,4AcetoxyMET_AmountMgSrv,4HydroxyDET_AmountMgSrv,4HydroxyTMT_AmountMgSrv,4Hydroxytryptamine_AmountMgSrv,4PropanoyloxyDMT_AmountMgSrv,5Hydroxytryptophan_AmountMgSrv,5MethoxyDMT_AmountMgSrv,5MethoxyNMT_AmountMgSrv,Adenosine_AmountMgSrv,Aeruginascin_AmountMgSrv,Baeocystin_AmountMgSrv,Bufotenin_AmountMgSrv,Methylcybin_AmountMgSrv,"N,NDMT_AmountMgSrv",NNMT_AmountMgSrv,Norbaeocystin (mg/srv),Norpsilocin_AmountMgSrv,PsilocinEQ (mg/srv),Psilocin (mg/srv),Psilocybin (mg/srv),Serotonin_AmountMgSrv,Tryptamine_AmountMgSrv,Tryptophan_AmountMgSrv
Happy Caps 100mg Dose,TRP-240624-001,Edible Solid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Dutch Kings,TRP-240624-002,Fruit,,0.0,0.0,,0.0,0.002,,0.0,0.0,,0.096,0.0,0.189,0.0,0.0,0.0,0.0,0.089,0.011,4.902,0.456,6.187,0.0,0.014,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Teachers,TRP-240624-003,Fruit,,0.0,0.0,,0.0,0.008,,0.0,0.0,,0.167,0.0,0.139,0.0,0.0,0.0,0.0,0.052,0.017,3.511,0.757,3.832,0.0,0.011,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omni,TRP-240624-004,Fruit,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.074,0.015,0.35,0.0,0.0,0.0,0.0,0.116,0.003,9.104,0.474,12.009,0.0,0.012,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Teachers,TRP-240624-005,Fruit,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.111,0.0,0.201,0.0,0.0,0.0,0.0,0.143,0.007,4.61,0.376,5.892,0.0,0.042,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Transkei,TRP-240624-006,Fruit,,0.0,0.0,,0.0,0.007,,0.0,0.0,,0.081,0.012,0.175,0.0,0.0,0.0,0.0,0.142,0.013,4.237,0.321,5.449,0.0,0.0,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillbilly,TRP-240624-007,Fruit,,0.0,0.0,,0.0,0.007,,0.0,0.0,,0.068,0.0,0.162,0.0,0.0,0.0,0.0,0.129,0.005,5.412,0.275,7.148,0.0,0.0,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarf King,TRP-240624-008,Fruit,,0.0,0.0,,0.0,0.003,,0.0,0.0,,0.142,0.0,0.195,0.0,0.0,0.0,0.0,0.138,0.015,6.336,0.686,7.862,0.0,0.02,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFO KSSS,TRP-240624-009,Fruit,,0.0,0.0,,0.0,0.005,,0.0,0.0,,0.051,0.0,0.232,0.0,0.0,0.0,0.0,0.1,0.013,3.719,0.358,4.677,0.0,0.008,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMT,TRP-240628-021,Isolate,25900,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,778.324,8.104,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Caps,TRP-240708-001,Edible Solid,Pill 1,0.0,0.0,,0.0,0.011,,0.0,0.0,,0.104,0.0,0.038,0.0,0.0,0.0,0.0,0.016,0.0,0.858,0.079,1.084,0.0,0.0,0.083,0.0,0.0,,0.0,0.102443,,0.0,0.0,,0.968552,0.0,0.353894,0.0,0.0,0.0,0.0,0.149008,0.0,7.990554,0.735727,10.095292,0.0,0.0,0.772979,0.0,0.0,,0.0,0.00409772,,0.0,0.0,,0.03874208,0.0,0.01415576,0.0,0.0,0.0,0.0,0.00596032,0.0,0.31962216,0.02942908,0.40381168,0.0,0.0,0.03091916
Happy Caps,TRP-240708-002,Edible Solid,Pill 2,0.0,0.0,,0.0,0.015,,0.0,0.0,,0.104,0.0,0.039,0.0,0.0,0.0,0.0,0.017,0.0,0.824,0.075,1.043,0.0,0.0,0.079,0.0,0.0,,0.0,0.139695,,0.0,0.0,,0.968552,0.0,0.363207,0.0,0.0,0.0,0.0,0.158321,0.0,7.673912,0.698475,9.713459,0.0,0.0,0.735727,0.0,0.0,,0.0,0.0055878,,0.0,0.0,,0.03874208,0.0,0.01452828,0.0,0.0,0.0,0.0,0.00633284,0.0,0.30695648,0.027939,0.38853836,0.0,0.0,0.02942908
Happy Caps,TRP-240708-003,Edible Solid,Pill 3,0.0,0.0,,0.0,0.015,,0.0,0.0,,0.101,0.0,0.034,0.0,0.0,0.0,0.0,0.018,0.0,0.848,0.082,1.066,0.0,0.0,0.079,0.0,0.0,,0.0,0.139695,,0.0,0.0,,0.940613,0.0,0.316642,0.0,0.0,0.0,0.0,0.167634,0.0,7.897424,0.763666,9.927658,0.0,0.0,0.735727,0.0,0.0,,0.0,0.0055878,,0.0,0.0,,0.03762452,0.0,0.01266568,0.0,0.0,0.0,0.0,0.00670536,0.0,0.31589696,0.03054664,0.39710632,0.0,0.0,0.02942908
